Begin, Group 1 ,比赛用名,1,2,3,4
,, MORIZONO Misaki ,,4~1,4~1,
,, HSU Hui~Tsun ,1~4,,4~3,
,, LIU Qi ,1~4,3~4,,


, Group 2 ,比赛用名,1,2,3,4
,, WAKAMIYA Misako ,,4~0,2~4,
,, MAK Tze Wing ,0~4,,1~4,
,, PARK Seonghye ,4~2,4~1,,


, Group 3 ,比赛用名,1,2,3,4
,, HIRANO Miu ,,4~0,4~1,
,, LEE Yearam ,0~4,,4~1,
,, WONG Chung Wan ,1~4,1~4,,


, Group 4 ,比赛用名,1,2,3,4
,, SATO Hitomi ,,2~4,4~0,
,, JI Eunchae ,4~2,,4~0,
,, LARIBA Ian ,0~4,0~4,,


, Group 5 ,比赛用名,1,2,3,4
,, HAYATA Hina ,,4~0,4~2,
,, KIM Byeolnim ,0~4,,4~0,
,, BALATBAT Sendrina ,2~4,0~4,,


, Group 6 ,比赛用名,1,2,3,4
,, KATO Miyu ,,4~2,4~1,
,, LAM Yee Lok ,2~4,,4~0,
,, SY Jamaica Dianne ,1~4,0~4,,


, Group 7 ,比赛用名,1,2,3,4
,, HAMAMOTO Yui ,,2~4,4~0,
,, LEE Eunhye ^ ,4~2,,4~0,
,, TAMBO Rommelia ,0~4,0~4,,


, Group 8 ,比赛用名,1,2,3,4
,, HUANG Yi~Hua ,,4~2,4~1,
,, MATSUMOTO Yuki ,2~4,,4~0,
,, KIM Eunji ,1~4,0~4,,


, Group 9 ,比赛用名,1,2,3,4
,, LEE Eunhee ,,4~0,4~0,
,, SAKAI Haruka ,0~4,,1~4,
,, WANG Yi~Ju ,0~4,4~1,,


, Group 10 ,比赛用名,1,2,3,4
,, ABE Megumi ,,4~3,3~4,
,, ZHU Chengzhu ^ ,3~4,,0~4,
,, LEE Sujin ,4~3,4~0,,


, Group 11 ,比赛用名,1,2,3,4
,, SO Eka ,,4~0,4~2,2~4
,, SOO Wai Yam Minnie ,0~4,,1~4,1~4
,, NAKAJIMA Misaki ,2~4,4~1,,4~3
,, OH Haesun ,4~2,4~1,3~4,


, Group 12 ,比赛用名,1,2,3,4
,, LI Ching Wan ,,4~2,4~1,4~1
,, TSUCHIDA Mika ,2~4,,4~0,4~0
,, SHIM Serom ,1~4,0~4,,4~0
,, FADOL Rose Jean ,1~4,0~4,0~4,


项目,轮次,时间,运动员1,运动员2,得分1,得分2
Women's Singles , 32, 14:00 - 29/5/2015 , ISHIKAWA Kasumi , KIM Byeolnim,4, 0
Women's Singles , 32, 14:00 - 29/5/2015 , SATO Hitomi , PARK Seonghye,4, 2
Women's Singles , 32, 14:00 - 29/5/2015 , LEE Eunhye ^ , MATSUMOTO Yuki,4, 2
Women's Singles , 32, 14:00 - 29/5/2015 , WAKAMIYA Misako , JEON Jihee ^,0, 4
Women's Singles , 32, 14:00 - 29/5/2015 , ISHIGAKI Yuka , LAM Yee Lok,4, 0
Women's Singles , 32, 14:00 - 29/5/2015 , OH Haesun , KATO Miyu,1, 4
Women's Singles , 32, 14:00 - 29/5/2015 , HAYATA Hina , LEE Sujin,4, 0
Women's Singles , 32, 14:00 - 29/5/2015 , LEE Yearam , ITO Mima,4, 2
Women's Singles , 32, 14:50 - 29/5/2015 , HIRANO Sayaka , WANG Yi-Ju,4, 3
Women's Singles , 32, 14:50 - 29/5/2015 , LEE Eunhee , MORIZONO Misaki,3, 4
Women's Singles , 32, 14:50 - 29/5/2015 , HUANG Yi-Hua , SO Eka,4, 1
Women's Singles , 32, 14:50 - 29/5/2015 , HAMAMOTO Yui , YANG Haeun,3, 4
Women's Singles , 32, 14:50 - 29/5/2015 , LEE Ho Ching , TSUCHIDA Mika,4, 1
Women's Singles , 32, 14:50 - 29/5/2015 , LI Ching Wan , HIRANO Miu,2, 4
Women's Singles , 32, 14:50 - 29/5/2015 , JI Eunchae , ABE Megumi,1, 4
Women's Singles , 32, 14:50 - 29/5/2015 , HSU Hui-Tsun , FUKUHARA Ai,0, 4
Women's Singles , 16, 18:30 - 29/5/2015 , ISHIKAWA Kasumi , SATO Hitomi,4, 1
Women's Singles , 16, 18:30 - 29/5/2015 , LEE Eunhye ^ , JEON Jihee ^,2, 4
Women's Singles , 16, 18:30 - 29/5/2015 , ISHIGAKI Yuka , KATO Miyu,4, 1
Women's Singles , 16, 18:30 - 29/5/2015 , HAYATA Hina , LEE Yearam,4, 1
Women's Singles , 16, 18:30 - 29/5/2015 , HIRANO Sayaka , MORIZONO Misaki,2, 4
Women's Singles , 16, 18:30 - 29/5/2015 , HUANG Yi-Hua , YANG Haeun,1, 4
Women's Singles , 16, 18:30 - 29/5/2015 , LEE Ho Ching , HIRANO Miu,0, 4
Women's Singles , 16, 18:30 - 29/5/2015 , ABE Megumi , FUKUHARA Ai,3, 4
Women's Singles ,Quarter Final, 17:30 - 30/5/2015 , ISHIKAWA Kasumi , JEON Jihee ^,4, 1
Women's Singles ,Quarter Final, 17:30 - 30/5/2015 , ISHIGAKI Yuka , HAYATA Hina,4, 1
Women's Singles ,Quarter Final, 18:20 - 30/5/2015 , MORIZONO Misaki , YANG Haeun,2, 4
Women's Singles ,Quarter Final, 18:20 - 30/5/2015 , HIRANO Miu , FUKUHARA Ai,0, 4
Women's Singles ,Semi Final, 10:00 - 31/5/2015 , ISHIKAWA Kasumi , ISHIGAKI Yuka,4, 3
Women's Singles ,Semi Final, 10:45 - 31/5/2015 , YANG Haeun , FUKUHARA Ai,2, 4
Women's Singles ,Final, 14:00 - 31/5/2015 , ISHIKAWA Kasumi , FUKUHARA Ai,4, 2
